EMAG Y;Java;IVA RH65;EMAG GT;Kea
2849,72612;7661,376465;188,7339478;2099,665749;111,2663956
2852,976768;7666,946777;189,5176849;2091,657967;111,2752838
2839,750964;7636,783691;188,383606;2079,68565;111,3222733
2855,111671;7552,309082;188,4999237;2082,675697;111,3692627
2854,547032;7603,411133;189,9368896;2086,675697;111,4162521
2858,336413;7615,119629;190,0239258;2076,682846;111,4632416
2848,693672;7581,580566;189,8512268;2081,677868;111,5102234
2847,871527;7637,875977;189,3587036;2214,683449;111,5572128
2859,943007;7641,445801;188,889267;2463,648018;111,6042023
2857,100592;7629,185547;189,7888794;2456,677868;111,6511917
2846,968934;7601,314941;190,557724;2135,677868;111,6981812
2855,494187;7605,316406;189,9490814;2119,662941;111,745163
2852,841441;7624,444824;189,2022858;2108,658577;111,7914886
2853,194326;7605,580566;189,9462738;2092,677868;111,7658005
2846,364819;7593,87793;189,7976837;2090,677868;111,6915665
2848,218132;7612,978516;189,0371094;2096,648018;111,6173325
2857,330449;7590,645996;189,3216248;2131,449623;111,5430908
2850,744752;7596,629395;188,8530426;2145,449623;111,4688568
2856,693464;7624,188477;190,04776;2099,68782;111,3946228
2842,647564;7630,770508;190,6584015;2102,648018;111,3203888
2845,966593;7588,143555;189,203476;2102,693401;111,2461472
2851,558875;7614,433105;188,7429504;2104,677868;111,1719131
2857,876535;7652,777344;188,9828491;2407,648018;111,0976791
2853,598843;7574,209961;190,2521057;8307,667915;111,0234375
2838,546124;7615,574707;190,305542;7511,717022;110,9492035
2850,141569;7636,668457;189,0200348;8813,688538;110,8749695
2864,970068;7625,875;189,4015045;8548,494522;110,8284531
2850,591416;7582,8125;189,8608551;8557,504471;111,0359573
2872,883115;7602,515625;189,7867126;8652,504471;111,3048019
2863,502276;7610,980469;189,4671326;8691,529953;111,5736542
2861,151325;7553,067871;189,6077423;8621,509445;111,8424988
2918,757754;7564,94043;190,5895386;8660,499496;112,1113434
2900,544298;7609,629395;190,8927002;8664,524979;112,3801956
2898,600431;7629,174805;190,6866913;8663,51442;112,6490402
2885,592103;7627,174805;190,4878845;8652,519402;112,9178925
2906,059117;7657,712402;190,0698547;8649,524376;113,1867371
2707,846994;7652,524414;190,2488556;8536,51442;113,3574142
2956,782707;7570,780273;189,8596802;8618,510056;113,1923599
2950,226881;7565,303223;189,3730774;8667,519402;112,9993362
2963,142042;7575,755859;189,1111145;8665,524376;112,8063126
2820,312802;7586,208496;189,3682251;8658,519402;112,6132889
2537,985138;7596,661133;189,7173157;8653,534935;112,4202652
2738,731045;7607,11377;189,6751251;8641,534935;112,2299881
2938,836174;7617,566406;189,8284149;8619,519402;112,0950699
2945,49578;7628,019043;189,4059143;11867,52438;111,9818954
2889,158025;7632,361328;189,618988;11868,53493;111,8687286
2908,054676;7627,570801;190,6591492;11846,51442;111,7555542
2799,029867;7583,711914;190,1044464;11847,50945;111,6423874
3315,593837;7556,421875;189,5721436;11845,5194;111,529213
4001,4526;7568,568359;189,5983124;11846,52995;111,4160385
3443,943426;7580,736328;189,6911621;12115,03183;111,3028717
3216,518484;7592,904297;191,1672821;12268,9373;111,1896973
3225,023446;7597,233887;190,9634247;12347,53931;111,0765305
3282,310704;7420,775879;190,4462738;12568,53931;110,963356
3345,926098;7312,82959;190,1252594;12108,32536;110,8501892
3510,790791;7377,262695;188,2473907;12109,32039;110,7370148
6577,883953;7414,597656;188,8077545;12048,30547;110,6238403
6864,421337;7356,675781;191,1353149;12014,30608;110,5902023
6868,477415;7401,161133;192,1788635;12015,32536;110,7755432
11792,88108;7425,841797;191,9822083;12016,30476;110,9735184
11729,51713;7431,265137;191,9315338;12004,33577;111,1714859
11482,95321;7438,209961;191,1254578;8949,33577;111,3694611
9770,048805;7439,395508;188,5896301;8902,356277;111,5674362
6491,083693;7409,257813;188,3677979;8954,304764;111,7654114
8303,467489;7348,73291;188,4336243;8953,33577;111,9633865
10042,93895;7385,328125;188,1832733;8929,304764;112,1613541
10176,42735;7399,82959;188,8015442;8867,351303;112,3593292
10315,27147;7407,785645;190,3566589;8937,351303;112,5573044
10765,28857;7432,158691;188,9773102;9121,340744;112,7552795
10874,83134;7431,762695;188,354126;9158,340744;112,9532547
10394,44901;7420,565918;189,1028595;8944,351303;113,1512222
5643,912484;7435,051758;188,0748138;8943,284866;113,3491974
6192,657534;7450,647949;188,4689789;8938,33577;113,5471725
